Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
196,9.6,3.9,9.7,0.4,0.4,3.65,3
197,9.3,3.4,6.6,3.9,0.8,3.41,3
198,6.2,0.5,5.4,4.2,7.7,2.84,3
199,6.7,2.9,5.3,1.9,7.2,3.29,3
200,6.6,2.5,9.4,3.4,2.1,3.03,2
201,6.2,0.1,9.4,0.1,8.2,2.95,2
202,9.7,3.2,10.0,0.4,0.7,3.67,3
203,8.8,1.6,7.4,3.8,2.4,3.23,3
204,7.1,3.0,6.2,0.7,7.0,3.36,2
205,6.8,1.1,6.5,1.4,8.2,3.01,2
206,6.9,2.7,6.1,5.7,2.6,3.08,2
207,8.9,0.4,7.1,5.3,2.3,3.33,3
208,8.1,0.7,10.0,1.2,4.0,3.35,3
209,9.7,2.6,8.0,1.9,1.8,3.33,3
210,6.1,0.7,8.9,2.1,6.2,2.81,2
211,5.3,3.9,9.4,5.0,0.4,3.08,1
212,8.5,0.6,9.1,1.3,4.5,3.16,3
213,6.1,2.1,8.0,3.5,4.3,2.79,2
214,9.4,3.8,9.3,1.2,0.3,3.33,3
215,8.3,2.2,5.4,2.5,5.6,2.97,3
216,8.6,2.0,5.4,1.3,6.7,3.14,3
217,8.4,0.3,9.3,3.0,3.0,3.77,3
218,9.1,1.4,8.4,2.9,2.2,3.26,3
219,6.3,3.5,9.0,3.4,1.8,3.11,2
220,8.5,2.7,8.1,3.5,1.2,3.38,3
221,5.8,3.5,9.4,0.2,5.1,2.84,1
222,6.7,3.0,5.8,4.9,3.6,3.03,3
223,9.2,2.0,5.0,1.7,6.1,3.42,3
224,8.2,1.0,8.2,3.2,3.4,3.24,3
225,8.9,0.4,8.8,3.2,2.7,3.32,3
226,8.2,3.7,5.5,5.6,1.0,3.29,3
227,8.4,0.3,6.5,4.2,4.6,3.29,3
228,6.7,2.5,5.2,5.2,4.4,2.86,3
229,9.9,3.9,8.7,0.2,1.3,3.8,3
230,8.4,1.8,6.4,6.0,1.4,3.25,3
231,7.1,1.8,5.8,4.8,4.5,2.86,3
232,5.4,2.7,8.3,1.6,6.0,2.95,1
233,9.8,0.6,7.2,5.7,0.7,3.84,3
234,7.0,1.1,9.9,2.5,3.5,2.84,2
235,9.5,0.9,6.1,0.2,7.3,3.17,3
236,9.3,1.9,9.8,0.6,2.4,3.68,3
237,9.3,3.1,8.9,2.3,0.4,3.52,3
238,5.7,0.1,9.6,3.7,4.9,3.12,1
239,9.0,1.9,5.6,0.8,6.7,3.21,3
240,6.0,2.0,5.3,3.5,7.2,3.26,3
241,6.3,3.2,6.6,2.7,5.2,2.85,2
242,8.0,1.2,8.5,5.2,1.1,2.72,2
243,8.9,0.2,7.4,0.6,6.9,3.33,3
244,8.1,2.8,7.8,0.1,5.2,2.98,3
245,6.6,2.1,5.4,2.1,7.8,2.79,3
246,7.8,2.8,9.0,0.9,3.5,3.11,2
247,5.8,0.4,8.2,4.2,5.4,2.88,1
248,8.5,3.5,8.6,2.7,0.7,3.15,3
249,6.7,3.3,5.4,5.4,3.2,3.27,3
250,7.3,2.6,7.6,4.4,2.1,3.13,2
251,5.4,0.2,6.2,1.0,11.2,2.75,1
252,9.9,1.3,5.9,4.7,2.2,3.57,3
253,8.3,2.0,7.8,4.2,1.7,3.25,3
254,6.0,2.7,5.4,0.2,9.7,2.92,3
255,6.3,1.9,9.3,4.4,2.1,2.85,2
256,6.7,1.5,9.9,0.2,5.7,3.32,2
257,9.3,2.3,7.2,3.8,1.4,3.61,3
258,9.5,1.7,6.4,3.6,2.8,3.42,3
259,9.6,0.8,8.1,3.5,2.0,3.31,3
260,8.6,3.6,5.9,1.4,4.5,3.37,3
261,9.9,0.7,9.3,2.0,2.1,3.59,3
262,7.2,2.1,6.8,3.6,4.3,3.01,2
263,5.8,1.6,9.8,1.5,5.3,2.61,1
264,8.9,0.5,9.8,2.2,2.6,3.57,3
265,6.2,0.3,5.8,3.1,8.6,3.13,3
266,7.2,1.0,8.1,4.2,3.5,2.98,2
267,5.8,0.7,5.2,4.4,7.9,2.81,3
268,9.2,3.2,7.9,3.2,0.5,3.8,3
269,6.0,0.4,6.3,0.3,11.0,3.05,2
270,5.2,0.5,7.3,5.6,5.4,2.79,1
271,6.6,2.0,5.2,0.9,9.3,3.17,3
272,7.3,2.1,7.4,4.0,3.2,3.16,2
273,5.7,0.1,6.5,4.2,7.5,2.98,1
274,9.8,0.4,8.4,2.4,3.0,3.26,3
275,9.3,0.7,8.5,4.6,0.9,3.43,3
276,7.5,2.5,9.3,2.7,2.0,3.2,2
277,5.2,3.7,8.4,4.1,2.6,2.91,1
278,7.0,2.6,5.5,3.9,5.0,2.82,3
279,10.0,0.2,9.9,1.6,2.3,3.56,3
280,7.8,3.0,9.4,1.5,2.3,3.25,2
281,6.6,2.7,9.0,4.3,1.4,2.93,2
282,9.1,0.5,7.7,0.0,6.7,3.64,3
283,6.6,1.5,7.0,4.2,4.7,2.79,2
284,6.2,1.5,6.1,0.4,9.8,2.5,2
285,8.0,2.7,8.1,2.4,2.8,3.4,2
286,7.6,1.9,5.1,2.0,7.4,3.08,3
287,6.9,1.6,7.9,3.2,4.4,3.31,2
288,9.1,2.9,9.8,0.0,2.2,3.48,3
289,6.0,0.0,8.2,5.4,4.4,2.92,2
290,5.3,3.7,6.8,0.6,7.6,2.78,1
291,7.4,1.0,6.4,1.8,7.4,3.15,2
292,6.6,2.4,8.6,1.6,4.8,3.27,2
293,7.1,0.5,5.9,4.1,6.4,3.09,3
294,8.5,0.4,7.8,1.5,5.8,3.01,3
295,9.8,1.9,9.0,1.8,1.5,3.5,3
296,9.8,2.4,9.1,2.4,0.3,3.38,3
297,6.1,0.8,8.1,2.5,6.5,2.67,2
298,8.9,1.1,9.1,2.1,2.8,3.2,3
299,8.3,0.4,8.1,2.7,4.5,3.01,3
300,8.7,3.5,6.1,0.5,5.2,3.37,3
301,5.1,2.6,8.0,3.3,5.0,2.65,1
302,8.0,2.0,9.9,0.6,3.5,2.93,2
303,8.5,1.6,7.1,4.3,2.5,3.39,3
304,6.4,0.3,5.4,5.4,6.5,3.29,3
305,6.0,1.3,6.1,2.1,8.5,2.91,2
306,5.3,3.2,6.2,3.2,6.1,2.64,1
307,9.4,2.6,7.7,1.4,2.9,3.66,3
308,10.0,2.6,7.8,2.6,1.0,3.26,3
309,7.3,0.2,7.8,5.7,3.0,3.2,2
310,6.0,2.1,5.5,2.7,7.7,2.72,3
311,8.8,1.4,8.3,4.4,1.1,3.1,3
312,10.0,3.7,7.7,2.2,0.4,3.44,3
313,7.6,2.5,5.4,4.5,4.0,3.17,3
314,8.9,2.8,5.2,1.8,5.3,3.3,3
315,6.3,1.4,5.4,5.6,5.3,2.58,3
316,7.0,1.8,8.0,3.1,4.1,3.15,2
317,9.6,2.0,10.0,2.0,0.4,3.46,3
318,6.9,3.5,9.3,3.5,0.8,3.02,2
319,9.0,1.2,5.4,2.4,6.0,3.46,3
320,6.7,3.9,8.2,4.3,0.9,2.83,2
321,5.7,3.4,9.6,2.6,2.7,3.13,1
322,5.9,2.0,7.0,0.9,8.2,3.0,1
323,6.8,0.3,5.1,0.8,11.0,3.03,3
324,9.8,1.7,6.6,3.0,2.9,3.58,3
325,7.2,0.4,8.2,1.3,6.9,3.39,2
326,5.8,0.2,8.9,2.8,6.3,3.11,1
327,5.3,4.0,5.3,4.2,5.2,2.67,3
328,8.5,0.2,7.5,6.0,1.8,3.21,3
329,9.1,2.5,6.5,3.7,2.2,2.85,3
330,5.7,3.5,7.2,1.2,6.4,3.04,1
331,6.8,1.7,9.1,4.4,2.0,2.9,2
332,5.1,1.0,8.8,0.8,8.3,2.25,1
333,7.7,0.9,5.1,1.4,8.9,3.15,3
334,5.5,2.2,7.3,5.1,3.9,2.94,1
335,5.5,2.0,5.8,1.9,8.8,2.79,3
336,6.9,1.6,7.3,4.7,3.5,3.38,2
337,9.5,3.8,8.9,0.6,1.2,3.3,3
338,6.3,3.4,5.2,5.4,3.7,3.31,3
339,7.3,2.5,8.3,5.3,0.6,3.36,2
340,5.3,2.1,5.8,4.4,6.4,3.11,3
341,7.6,2.7,5.2,0.5,8.0,3.07,3
342,5.4,0.0,9.8,4.4,4.4,2.85,1
343,6.8,1.2,6.7,4.6,4.7,2.81,2
344,5.9,0.4,8.3,4.6,4.8,2.99,1
345,6.3,0.1,5.4,5.8,6.4,3.14,3
346,8.1,1.5,6.0,0.7,7.7,3.06,3
347,8.1,3.1,8.2,2.4,2.2,3.09,3
348,9.9,2.4,7.9,2.8,1.0,3.67,3
349,9.1,2.6,5.6,2.0,4.7,3.16,3
350,7.2,2.5,9.7,1.1,3.5,2.69,2
351,5.6,0.8,9.4,3.9,4.3,3.01,1
352,9.3,3.4,9.6,0.4,1.3,3.28,3
353,8.8,1.8,9.2,3.1,1.1,3.45,3
354,5.9,2.2,9.9,5.6,0.4,3.12,1
355,5.2,0.7,5.7,4.4,8.0,2.67,3
356,7.5,3.4,8.7,2.4,2.0,3.24,2
357,8.0,2.0,6.5,3.4,4.1,3.35,2
358,8.2,3.0,5.8,2.8,4.2,3.31,3
359,5.0,1.0,8.6,6.0,3.4,2.71,1
360,9.0,0.8,7.8,4.4,2.0,3.18,3
361,8.1,0.8,6.8,4.7,3.6,3.19,3
362,8.8,0.1,8.7,1.2,5.2,3.32,3
363,9.8,1.5,6.6,0.9,5.2,3.61,3
364,10.0,1.5,7.2,3.8,1.5,3.43,3
365,9.4,2.4,7.0,2.1,3.1,3.1,3
366,9.0,0.4,7.9,2.9,3.8,3.6,3
367,8.2,0.3,7.9,3.4,4.2,3.64,3
368,8.4,3.2,6.3,5.0,1.1,3.5,3
369,7.5,0.3,5.3,2.0,8.9,3.26,3
370,8.9,2.1,7.2,0.9,4.9,3.53,3
371,6.6,1.7,5.4,1.3,9.0,3.29,3
372,10.0,3.7,8.2,0.9,1.2,3.63,3
373,8.2,3.1,5.6,2.5,4.6,3.16,3
374,7.9,2.4,5.9,2.2,5.6,3.4,3
375,6.7,0.1,5.1,5.0,7.1,3.03,3
376,6.5,3.8,6.3,2.6,4.8,2.62,2
377,9.4,3.4,5.9,4.3,1.0,3.18,3
378,5.7,0.3,8.6,3.0,6.4,2.28,1
379,7.2,2.9,8.8,0.8,4.3,2.88,2
380,8.8,2.6,9.8,0.2,2.6,3.38,3
381,5.3,1.1,6.3,1.5,9.8,2.75,1
382,6.4,3.0,7.2,4.7,2.7,3.03,2
383,5.3,2.0,5.2,0.4,11.1,2.31,3
384,6.7,3.6,5.1,4.0,4.6,3.18,3
385,9.8,2.2,9.7,0.1,2.2,3.16,3
386,8.7,3.9,6.3,3.3,1.8,3.2,3
387,6.0,2.3,7.3,5.8,2.6,2.58,2
388,5.6,0.6,6.1,1.5,10.2,3.07,1
389,9.3,2.2,7.6,0.6,4.3,3.48,3
390,5.3,2.8,7.7,0.5,7.7,2.93,1
391,7.3,1.9,5.8,5.7,3.3,3.18,3
392,7.3,1.6,8.3,3.3,3.5,3.28,2
393,5.3,2.1,9.0,2.8,4.8,2.67,1
394,5.8,1.3,8.8,3.1,5.0,2.71,1
395,6.0,3.5,9.4,4.4,0.7,2.84,2
396,9.9,3.1,5.1,0.4,5.5,3.17,3
397,7.3,3.6,7.7,2.7,2.7,3.15,2
398,9.1,1.5,8.9,4.3,0.2,3.21,3
399,6.0,2.1,6.4,4.8,4.7,3.27,2
400,9.0,1.6,9.6,2.0,1.8,3.57,3
401,5.8,2.8,9.0,1.9,4.5,2.8,1
402,5.9,3.6,8.3,0.9,5.3,2.8,1
403,7.2,2.5,5.4,5.3,3.6,3.08,3
404,9.8,1.7,9.9,1.7,0.9,3.75,3
405,8.2,0.7,9.4,2.4,3.3,3.47,3
406,8.6,3.6,5.4,4.4,2.0,3.81,3
407,5.9,3.4,9.1,3.0,2.6,2.68,1
408,7.4,3.3,7.3,2.1,3.9,3.34,2
409,7.5,3.3,6.7,1.0,5.5,3.29,2
410,5.5,1.0,5.7,2.1,9.7,2.93,3
411,7.3,3.0,8.3,3.4,2.0,3.29,2
412,7.4,3.9,8.2,0.6,3.9,3.02,2
413,8.4,1.3,8.4,0.4,5.5,3.32,3
414,6.1,3.3,6.4,3.9,4.3,2.86,2
415,8.5,2.1,6.5,1.3,5.6,3.38,3
416,9.4,3.1,8.9,1.7,0.9,3.45,3
417,6.3,3.6,8.4,3.2,2.5,2.92,2
418,7.3,3.5,7.7,2.1,3.4,2.9,2
419,9.9,0.4,7.1,0.3,6.3,3.55,3
420,6.4,3.4,6.5,5.5,2.2,3.0,2
421,8.8,3.2,5.1,5.8,1.1,3.13,3
422,9.1,1.1,9.4,0.5,3.9,3.58,3
423,8.5,2.2,5.5,1.5,6.3,3.27,3
424,6.5,2.4,6.5,1.8,6.8,2.91,2
425,8.7,0.2,9.5,4.8,0.8,3.5,3
426,9.5,0.7,5.4,1.4,7.0,3.77,3
427,9.0,0.1,7.9,6.0,1.0,3.36,3
428,5.3,3.3,8.0,0.7,6.7,3.03,1
429,5.5,3.6,8.3,5.0,1.6,2.86,1
430,7.6,1.7,6.6,2.6,5.5,3.34,2
431,8.9,2.4,9.5,1.4,1.8,3.66,3
432,8.0,2.8,6.2,3.1,3.9,3.46,2
433,5.5,1.5,7.4,3.9,5.7,2.85,1
434,8.7,2.0,8.2,0.4,4.7,3.42,3
435,6.3,1.4,7.4,0.3,8.6,2.86,2
436,9.9,1.3,7.4,1.1,4.3,3.35,3
437,8.1,1.1,6.0,3.1,5.7,3.15,3
438,9.0,2.3,7.6,1.5,3.6,3.2,3
439,9.7,1.6,5.4,3.7,3.6,3.39,3
440,7.5,3.5,7.5,3.9,1.6,2.97,2
441,10.0,0.5,6.4,2.4,4.7,3.14,3
442,9.5,2.9,8.0,1.1,2.5,3.11,3
443,9.1,3.8,9.1,0.0,2.0,3.27,3
444,6.3,0.2,8.0,4.1,5.4,2.97,2
445,5.6,1.5,7.3,2.2,7.4,2.8,1
446,8.8,0.3,5.4,2.1,7.4,3.12,3
447,9.7,2.7,8.4,1.2,2.0,3.44,3
448,8.2,3.7,8.1,3.5,0.5,3.23,3
449,8.6,0.5,9.5,0.4,5.0,3.06,3
450,5.1,1.7,6.5,2.9,7.8,2.79,1
451,7.9,0.2,5.6,3.4,6.9,3.44,3
452,8.3,3.4,8.5,1.6,2.2,3.07,3
453,8.4,1.1,6.5,4.7,3.3,3.54,3
454,9.1,3.4,9.6,0.8,1.1,3.31,3
455,6.6,2.3,6.9,3.6,4.6,3.2,2
456,6.9,0.7,7.2,0.9,8.3,3.26,2
457,9.5,1.4,5.8,0.2,7.1,3.69,3
458,6.7,0.3,7.0,1.9,8.1,3.28,2
459,8.4,2.4,6.8,1.3,5.1,3.25,3
460,8.4,0.6,7.4,0.2,7.4,3.32,3
461,7.5,3.9,6.9,0.2,5.5,3.11,2
462,5.8,0.1,8.8,2.8,6.5,2.8,1
463,6.4,3.6,5.6,5.7,2.7,3.1,3
464,8.0,3.3,9.9,0.8,2.0,3.13,2
465,9.8,1.6,6.9,1.9,3.8,3.23,3
466,7.8,2.2,8.8,4.3,0.9,3.2,2
467,7.2,1.2,6.3,1.2,8.1,3.05,2
468,6.4,3.9,7.8,2.0,3.9,2.87,2
469,7.9,0.6,7.2,3.8,4.5,2.68,2
470,10.0,3.5,8.1,1.4,1.0,3.44,3
471,8.1,0.8,7.0,0.2,7.9,3.74,3
472,6.1,3.9,9.5,3.2,1.3,2.61,2
473,7.7,3.5,5.7,4.7,2.4,3.21,3
474,6.4,3.5,9.7,0.7,3.7,2.89,2
475,7.3,3.9,7.4,4.7,0.7,2.74,2
476,6.4,0.8,8.8,2.3,5.7,3.21,2
477,7.6,2.0,7.9,5.2,1.3,3.13,2
478,9.1,3.1,7.9,3.7,0.2,3.42,3
479,6.0,0.4,9.3,2.6,5.7,3.02,2
480,8.1,3.7,5.1,2.9,4.2,2.63,3
481,8.4,2.9,8.5,0.6,3.6,3.07,3
482,9.0,1.1,6.1,5.7,2.1,3.07,3
483,5.0,4.0,8.4,5.0,1.6,2.9,1
484,8.7,0.6,8.8,4.5,1.4,3.41,3
485,8.3,3.1,9.2,2.1,1.3,3.24,3
486,5.4,1.6,7.0,0.4,9.6,2.63,1
487,6.7,0.4,9.0,5.7,2.2,2.63,2
488,5.4,2.0,9.0,4.2,3.4,2.85,1
489,5.3,0.3,7.0,1.8,9.6,2.64,1
490,9.0,3.7,7.0,3.9,0.4,3.16,3
491,6.6,1.9,6.1,3.8,5.6,3.0,2
492,6.8,2.6,5.6,5.3,3.7,3.08,3
493,7.5,1.8,7.9,3.7,3.1,3.17,2
